n_segmentos,num_episodes,learning_rate,discount_rate,fail
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.4,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
20,100,0.1,0.5,True
